exp_id	status	rouge_l	embed	delta_pct	param_group	param_name	value	notes
baseline_ml_dev_authority	baseline	0.2136	0.7570	+0.00%				initial baseline
bart_led_sweep_exp001	rejected	0.2146	0.7570	+0.47%	reduce_params	max_new_tokens	450	below threshold (+0.47%), fails=1
bart_led_sweep_exp002	rejected	0.2146	0.7570	+0.47%	reduce_params	max_new_tokens	550	below threshold (+0.47%), fails=2
bart_led_sweep_exp003	rejected	0.2146	0.7570	+0.47%	reduce_params	max_new_tokens	750	below threshold (+0.47%), fails=3
